Island,ID,Geologic Area,Name,Rock type,AgeUpBound,AgeLowBound,AgeMeth,MagMin,Primary,FieldTest,MaxAgeMag,MinAgeMag,nSample,Nsites,Dec,Inc,a95,k,A95_VGP,K_VGP,BedStrike,BedDip,Lat,Long,Plat,Plong,Lambda,Ref,DOI,Comments,
HONSHU NE,HN-NE-18-1,Tochigi Prefecture,Yamanouchi,Andesite and basalt,17.9,17.5,K-Ar,(Ti-) Magnetite,Y,Reversal test,,,212,36,9.8,56.4,4.6,27.4,6,19.7,Individual,,36.6,140.2,82.15,224.62,36.963674,"Hoshi and Takahashi, 1997",10.5575/geosoc.103.523,"Calculated in April, 2020",
HONSHU NE,HN-NE-18-2,Northern Uetsu,Atsumi,WT+TS+Trach Lava,18,18,Biostrat,Magnetite,Y,Bed-tilt (McFadden),,,8,,308.9,45.9,15.7,14,14.17255078,12.19747792,52,32,38.3,139.83,46.23,50.99,27.29192294,"Yamaji et al., 1999",10.1186/BF03352213,,
HONSHU NE,HN-NE-18-3,Tochigi Prefecture,Motokazawa,Basalt and Andesite,18.6,18.2,K-Ar,(Ti-) Magnetite,Y,Reversal test,,,127,25,0.3,48.3,3.4,72.6,3.4,42.8,Individual,,36.6,140.2,82.7,318.14,29.30060436,"Hoshi and Takahashi, 1997",10.5575/geosoc.103.523,"Calculated in April, 2020",
HONSHU NE,HN-NE-20-1,Abukuma mountains,Tenmyosan ,Bas lava, Fluv dep,20.7,19.4,Stratigraphy,Mn+Hem,Y,,,,31,5,320.4,41.3,16.5,22.3,15.5,21.89817381,,,37.76,140.83,53.51,399.82,23.71399816,"Takahashi et al., 1999",10.1016/S0040-1951(99)00044-X,
HONSHU NE,HN-NE-20-2,Tsugaru Peninsula,Gongenzaki,Dacite WT,23.03,15.97,K-Ar + FT,Mag + Hem,Y,Bedding-tilt test,,,12,,292,52.2,6,52.6,6.551800762,38.04989484,,,41.133,140.283,36.41,64.74,32.80567095,"Otofuji et al., 1994",10.1016/0012-821X(94)90087-6,,
HONSHU NE,HN-NE-22-1,Ninohe area,Dikes,Andesites ,23.9,19.7,K-Ar/ FT,Magnetite and Hematite,Y,,,,10,3,328.3,38.2,39.9,10.6,34.2,11.19503373,,,40.3,141.3,59.1,30,21.47771277,"Hoshi and Matsubara, 1998",10.1186/BF03352083,,
HONSHU NE,HN-NE-22-2,Noto Penisula,Noto,Andesite,27.9,16,K-Ar,Magnetite,Y,Reversal/bedding tilt,,,68,6,355.2,70.9,15.9,19,6.35178874,7.144224091,Individual,,37.3,137.1,71.71,128.37,55.29499414,"Hirooka et al., 1986",10.5636/jgg.38.311,,
HONSHU NE,HN-NE-23-1,Oshima Peninsula,Fukuyama,Rhyolite WT,24.3,20.8,K-Ar + FT,Mag + Hem,Y,Bedding-tilt test,,,13,,272.2,43.2,9.2,21.1,8.736335748,19.75395621,,,41.416,140.216,17.89,68.32,25.15152266,"Otofuji et al., 1994",10.1016/0012-821X(94)90087-6,,
HONSHU NE,HN-NE-24-1,Sado Island,Sado,Dacitic tuff breccia,31.8,16,K-Ar,Magnetite,Y,Reversal/bedding tilt,,,40,4,332.9,59.9,11.1,69,3.564921075,38.55637907,Individual,,38.1,138.2,68.98,64.07,40.77925684,"Hirooka et al., 1986",10.5636/jgg.38.311,,
HONSHU NE,HN-NE-25-1,Yuzawa,Okatsugawa Fm,Dacite WT,25,25,K-Ar + FT,Mag + Hem,Y,Bedding-tilt test,,,53,6,319.5,54.5,11.5,35.1,15,21,,,39.03,140.366,57.69,56.14,35.02946247,"Otofuji et al., 1994",10.1016/0012-821X(94)90087-6,Averaged in April 2020,
HONSHU NE,HN-NE-33-1,Yuzawa,Yunosawagawa Fm,Pyroxene ande. WT,33,33,K-Ar + FT,Mag + Hem,Y,Bedding-tilt test,,,28,3,316.5,63.7,21.4,34.1,26.5,22.7,,,39.116,140.366,57.56,75.92,45.33246612,"Otofuji et al., 1994",10.1016/0012-821X(94)90087-6,Averaged in April 2020,
HONSHU NE,HN-NE-37-1,Kitami,S Kitami Terrane,Limest. + Meta SS,484,251.9,"K-Ar, Strat",Pyrr + Magnet,N,"Fold-test, negative",62,16,190,18,321.2,56.5,5.2,44.7,5.9,35.4,,,39.5,141.4,59.68,59.32,37.06804107,"Otofuji et al., 2003",10.1016/S0012-821X(03)00125-0,Averaged in April 2020,
HONSHU NE,HN-NE-<66-10,Honshu,Kurihashi LT,Granodiorite,110,91.5,FT,Magnetite,N,Demag Test / LT,66,,62,11,50.5,24.2,11.2,17.5,9.4,24.4,,,39.3,141.7,38.25,248.23,12.66450791,"Itoh et al., 2000",10.1029/2000jb900071,Averaged in April 2020,
HONSHU NE,HN-NE-<66-3,Honshu,Kurihashi MT,Granodiorite,110,91.5,FT,Magnetite,N,Demag Test / MT,66,,109,16,15.3,45.1,6.4,33.7,6.9,29.25,,,39.3,141.7,72.03,271.86,26.64513507,"Itoh et al., 2000",10.1029/2000jb900071,Averaged in April 2020,
HONSHU NE,HN-NE-100-1,Honshu,Kurihashi ChRM,Granodiorite,110,91.5,FT,Magnetite,Y,Demag Test ,,,311,41,287.9,44.1,3.4,43.7,3.4,44.7,,,39.3,141.7,29.36,62.43,25.85175239,"Itoh et al., 1998; 2000",10.1029/2000jb900071, /10.5575/geosoc.104.42,"Averaged in May, 2020"
HONSHU NE,S1-1-BNT,MOM S1-1-BNT,,Sheeted dike,50,50,,,Y,,,,14,,51.9,30.1,6.9,40.7,5.95,54.26,220,15,35.09,140.11,,,,"Ganbat et al., 2021",https://doi.org/10.1029/2020JB021492,Bed converted DD --> S/D,
HONSHU NE,S1-2-BNT,MOM S1-2-BNT,,Sheeted dike,50,50,,,Y,,,,18,,7.4,22.4,6,34.4,5,48.85,220,15,35.09,140.11,,,,"Ganbat et al., 2021",https://doi.org/10.1029/2020JB021492,Bed converted DD --> S/D,
HONSHU NE,HGR,MOM HGR,,Alk. Basalt,16,16,,,Y,,,,42,,293.2,-31.8,4.9,22.5,4.84,23.37,72.9,16.2,35.1,139.93,,,,"Ganbat et al., 2021",https://doi.org/10.1029/2020JB021492,Bed converted DD --> S/D,
HONSHU NE,QWS,MOM QWS,,Tholeiitic Bas.,50,50,,,Y,,,,8,,329.5,48.7,14.7,17.8,12.6,23.92,357,19.3,35.11,140.02,,,,"Ganbat et al., 2021",https://doi.org/10.1029/2020JB021492,Bed converted DD --> S/D,
HONSHU NE,SNY,MOM SNY,,Tholeiitic Bas.,85,85,,,Y,,,,40,,69.5,29.4,11.2,6.5,9.28,9.01,86.2,57.6,35.09,140.1,,,,"Ganbat et al., 2021",https://doi.org/10.1029/2020JB021492,Bed converted DD --> S/D,


HONSHU NE,KM,MOM KM,,Tholeiitic Bas.,85,85,,,Y,,,,9,,22.8,29.6,14.1,14.3,12.74,17.3,,,35.09,140.1,,,,"Ganbat et al., 2021",https://doi.org/10.1029/2020JB021492,Bed converted DD --> S/D,
HONSHU NE,Chikura,Hata Fm.,,SS + Slt.S.+Tephra,3.15,2.35,,,Y,,,,,45,8.6,-47.7,3.3,42.4,,,,,33.97,139.91,,,,"Konishi and Okada, 2020",10.1186/s40645-020-00352-0,,
HONSHU NE,LPZ,Mera Coast,LPZ,SS + Slt.S.+Tephra,3.4,2.5,,,Y,,,,74,,4,51.4,,,2.6,,,,34.92,139.82,,,,"Tanimoto et al., 2024",10.21203/rs.3.rs-4861804/v1,,
HONSHU NE,UNPZ,Mera Coast,UNPZ,SS + Slt.S.+Tephra,3.4,2.5,,,Y,,,,32,,20.5,53.9,,,4.6,,,,34.92,139.82,,,,"Tanimoto et al., 2024",10.21203/rs.3.rs-4861804/v1,,
HONSHU NE,LNPZ,Mera Coast,LNPZ,SS + Slt.S.+Tephra,3.4,2.5,,,Y,,,,39,,176.9,-41.6,,,4.3,,,,34.92,139.82,,,,"Tanimoto et al., 2024",10.21203/rs.3.rs-4861804/v1,,
